Project ID,Votes,Cost (₹ crore),Project Name,region,category
P2,1861,30,Rural Healthcare Clinics,Vidarbha,Healthcare
P3,1905,45,Pune Water Supply Upgrade,Pune,Water
P5,1898,25,Farmer Solar Pump Subsidies,Marathwada,Agriculture
P6,1886,15,Coastal Erosion Control,Konkan,Environment
P7,1900,20,Tribal School Upgrades,Gadchiroli,Education
P8,1885,50,Mumbai Slum Sanitation,Mumbai,Sanitation
P9,1937,60,Aurangabad IT Hub,Aurangabad,Employment
P10,1880,35,Nashik Wine Tourism Roads,Nashik,Tourism
P12,1882,40,Thane Flood Prevention,Thane,Infrastructure
P14,1877,28,Latur Drought Resilience,Latur,Water
P16,1913,22,Smart Classrooms for Rural Schools,Vidarbha,Education
P17,1964,26,Green Belt Development,Pune,Environment
P18,1915,33,Skill Training for Youth,Nagpur,Employment
P19,1888,37,Rural Internet Access,Marathwada,Infrastructure
P20,1850,12,Urban Tree Plantation,Mumbai,Environment
P21,1923,19,Cultural Center Restoration,Nashik,Tourism
