Project ID,Value,Votes,Cost,Project Name,Region,Category
P20,154.16666666666666,1850,12,Urban Tree Plantation,Mumbai,Environment
P6,125.73333333333333,1886,15,Coastal Erosion Control,Konkan,Environment
P11,103.11111111111111,1856,18,Amravati Women’s Hostels,Amravati,Social Welfare
P21,101.21052631578948,1923,19,Cultural Center Restoration,Nashik,Tourism
P7,95.0,1900,20,Tribal School Upgrades,Gadchiroli,Education
P16,86.95454545454545,1913,22,Smart Classrooms for Rural Schools,Vidarbha,Education
P5,75.92,1898,25,Farmer Solar Pump Subsidies,Marathwada,Agriculture
P17,75.53846153846153,1964,26,Green Belt Development,Pune,Environment
P14,67.03571428571429,1877,28,Latur Drought Resilience,Latur,Water
P2,62.03333333333333,1861,30,Rural Healthcare Clinics,Vidarbha,Healthcare
P18,58.03030303030303,1915,33,Skill Training for Youth,Nagpur,Employment
P10,53.714285714285715,1880,35,Nashik Wine Tourism Roads,Nashik,Tourism
P19,51.027027027027025,1888,37,Rural Internet Access,Marathwada,Infrastructure
P12,47.05,1882,40,Thane Flood Prevention,Thane,Infrastructure
P3,42.333333333333336,1905,45,Pune Water Supply Upgrade,Pune,Water
P8,37.7,1885,50,Mumbai Slum Sanitation,Mumbai,Sanitation
