Project ID,Project Name,Cost (₹ crore),Region,Category,Votes
P1,Mumbai Metro Line 6,80,Mumbai,Transport,1896
P3,Pune Water Supply Upgrade,45,Pune,Water,1905
P5,Farmer Solar Pump Subsidies,25,Marathwada,Agriculture,1898
P6,Coastal Erosion Control,15,Konkan,Environment,1886
P7,Tribal School Upgrades,20,Gadchiroli,Education,1900
P9,Aurangabad IT Hub,60,Aurangabad,Employment,1937
P13,Kolhapur Textile Parks,55,Kolhapur,Industry,1856
P14,Latur Drought Resilience,28,Latur,Water,1877
P15,Navi Mumbai Airport Roads,75,Navi Mumbai,Transport,1911
P19,Rural Internet Access,37,Marathwada,Infrastructure,1888
P20,Urban Tree Plantation,12,Mumbai,Environment,1850
